Feature,Coefficient_Estimate,Std_Error,t_statistic,p_value,Significant_5%
Intercept,7.500201275555956e-16,0.04047233680579205,1.8531673403356817e-14,0.9999999999999851,False
TAVG,-1.2235492965207868,2.815001741320314,-0.4346531224335613,0.6641099573965827,False
FF_AVG,1.495227713038787,2.2794564273375633,0.6559580148611279,0.512326950821381,False
RH_AVG,-0.06796360592443307,3.157764388618688,-0.021522696933751483,0.9828422389733575,False
SS,6.173936795689997,2.3681522757185176,2.607069173293247,0.009563803418755512,True
DDD_X,3.6856464963178155,2.1751532549406143,1.6944307202015705,0.09116558927152107,False
DDD_CAR,0.40332402341425677,2.6777225971014156,0.1506220337576594,0.8803696760528927,False
TAVG^2,2.393059222359625,2.0075965188292586,1.1920020780645462,0.23415201490244342,False
TAVG FF_AVG,-0.6380545280487837,1.4310151599505236,-0.445875449754735,0.6559915927249498,False
TAVG RH_AVG,-0.11981082975978552,1.4353480790812077,-0.08347162023338521,0.9335292276854772,False
TAVG SS,-3.6401331213298818,1.5229495439202287,-2.3901862907157154,0.017423445251127045,True
TAVG DDD_X,-1.8175514427699824,1.3311246107324413,-1.3654254666434935,0.17308748729056767,False
TAVG DDD_CAR,-0.24899908940284377,1.6682538543745866,-0.14925731401723108,0.8814455066425302,False
FF_AVG^2,0.30461379175525494,0.30541193190332855,0.9973866766006829,0.3193375734294639,False
FF_AVG RH_AVG,-0.523925806057548,0.9047354222196272,-0.5790928410564249,0.5629377882499274,False
FF_AVG SS,-0.26308534537508166,0.2079166208213577,-1.2653406174830295,0.2066785311875181,False
FF_AVG DDD_X,-0.611396623355489,0.3106151116262977,-1.9683415277330836,0.04989986859476159,True
FF_AVG DDD_CAR,-0.281713671380885,0.2701825313373962,-1.0426790732413747,0.29789146681191725,False
RH_AVG^2,1.5510102276384714,1.562622837656455,0.9925685138229519,0.32167730157692964,False
RH_AVG SS,-2.0467803099410844,0.916421117230705,-2.233449526049951,0.026216762577816022,True
RH_AVG DDD_X,-1.2052721763854635,0.9320738246539203,-1.2931080612986658,0.19691525907485952,False
RH_AVG DDD_CAR,-0.12507746234507522,1.0871886368466275,-0.11504669760701355,0.9084809463807371,False
SS^2,-0.4409713016646535,0.18478497673711358,-2.386402344233894,0.017600491099125204,True
SS DDD_X,-0.2434628427999801,0.19505656570537439,-1.2481653305006999,0.21289163473409922,False
SS DDD_CAR,0.084543168745844,0.15625011881287085,0.5410758685380269,0.5888353085534708,False
DDD_X^2,-0.28794664792102687,0.19381972792772162,-1.4856415856099368,0.1383677416741118,False
DDD_X DDD_CAR,0.19886514595411953,0.21243611322196754,0.9361174187287632,0.34992532678275223,False
DDD_CAR^2,-0.13495050588099922,0.22265417415876926,-0.6060991508058111,0.5448826654278993,False
